locate,symbol,reason
667,AXS,NOT_NASDAQ_LISTED
668,AXS-D,NOT_NASDAQ_LISTED
669,AXS-E,NOT_NASDAQ_LISTED
671,AXTA,NOT_NASDAQ_LISTED
673,AXU,NOT_NASDAQ_LISTED
674,AY,NOT_COMMON_STOCK
675,AYI,NOT_NASDAQ_LISTED
676,AYR,NOT_NASDAQ_LISTED
678,AYX,NOT_NASDAQ_LISTED
679,AZN,NOT_NASDAQ_LISTED
680,AZO,NOT_NASDAQ_LISTED
681,AZPN,FIRST_ADD_PRICE_BELOW_FLOOR
682,AZRE,NOT_NASDAQ_LISTED
684,AZUL,NOT_NASDAQ_LISTED
685,AZZ,NOT_NASDAQ_LISTED
686,B,NOT_NASDAQ_LISTED
687,BA,NOT_NASDAQ_LISTED
688,BAB,NOT_NASDAQ_LISTED
689,BABA,NOT_NASDAQ_LISTED
690,BAC,NOT_NASDAQ_LISTED
691,BAC-A,NOT_NASDAQ_LISTED
692,BAC-B,NOT_NASDAQ_LISTED
693,BAC-C,NOT_NASDAQ_LISTED
694,BAC-E,NOT_NASDAQ_LISTED
695,BAC-K,NOT_NASDAQ_LISTED
696,BAC-L,NOT_NASDAQ_LISTED
697,BAC-M,NOT_NASDAQ_LISTED
698,BAC-W*,NOT_NASDAQ_LISTED
699,BAC-Y,NOT_NASDAQ_LISTED
700,BAF,NOT_NASDAQ_LISTED
701,BAH,NOT_NASDAQ_LISTED
702,BAL,NOT_NASDAQ_LISTED
703,BAM,NOT_NASDAQ_LISTED
704,BANC,NOT_NASDAQ_LISTED
705,BANC-D,NOT_NASDAQ_LISTED
706,BANC-E,NOT_NASDAQ_LISTED
708,BANF,FIRST_ADD_PRICE_BELOW_FLOOR
709,BANFP,NOT_COMMON_STOCK
710,BANR,FIRST_ADD_PRICE_BELOW_FLOOR
712,BAP,NOT_NASDAQ_LISTED
713,BAPR,NOT_NASDAQ_LISTED
714,BAR,NOT_NASDAQ_LISTED
715,BAS,NOT_NASDAQ_LISTED
716,BASI,FIRST_ADD_PRICE_BELOW_FLOOR
717,BATRA,FIRST_ADD_PRICE_BELOW_FLOOR
718,BATRK,FIRST_ADD_PRICE_BELOW_FLOOR
719,BATT,NOT_NASDAQ_LISTED
720,BAX,NOT_NASDAQ_LISTED
721,BB,NOT_NASDAQ_LISTED
722,BBAR,NOT_NASDAQ_LISTED
723,BBAX,NOT_NASDAQ_LISTED
725,BBC,NOT_NASDAQ_LISTED
726,BBCA,NOT_NASDAQ_LISTED
728,BBD,NOT_NASDAQ_LISTED
729,BBDC,NOT_NASDAQ_LISTED
730,BBDO,NOT_NASDAQ_LISTED
731,BBEU,NOT_NASDAQ_LISTED
732,BBF,NOT_NASDAQ_LISTED
734,BBH,NOT_COMMON_STOCK
736,BBJP,NOT_NASDAQ_LISTED
737,BBK,NOT_NASDAQ_LISTED
738,BBL,NOT_NASDAQ_LISTED
739,BBN,NOT_NASDAQ_LISTED
740,BBP,NOT_NASDAQ_LISTED
741,BBRE,NOT_NASDAQ_LISTED
742,BBSA,NOT_NASDAQ_LISTED
743,BBSI,FIRST_ADD_PRICE_BELOW_FLOOR
744,BBT,NOT_NASDAQ_LISTED
745,BBT-D,NOT_NASDAQ_LISTED
746,BBT-E,NOT_NASDAQ_LISTED
747,BBT-F,NOT_NASDAQ_LISTED
748,BBT-G,NOT_NASDAQ_LISTED
749,BBT-H,NOT_NASDAQ_LISTED
750,BBU,NOT_NASDAQ_LISTED
751,BBUS,NOT_NASDAQ_LISTED
752,BBVA,NOT_NASDAQ_LISTED
753,BBW,NOT_NASDAQ_LISTED
754,BBX,NOT_NASDAQ_LISTED
755,BBY,NOT_NASDAQ_LISTED
756,BC,NOT_NASDAQ_LISTED
757,BC-A,NOT_NASDAQ_LISTED
758,BC-B,NOT_NASDAQ_LISTED
759,BC-C,NOT_NASDAQ_LISTED
